Time (ms),Estimated HR (Hz),Estimated HR (bpm),Time to next peak (ms),Heart rate pulse interval (ms),Red LED ADC,IR LED ADC
13853,0.988297,59,598,1011,2.81676e+06,3.09888e+06
13893,0.988297,59,558,1011,2.81679e+06,3.09894e+06
13933,0.988297,59,518,1011,2.81682e+06,3.09902e+06
13977,0.988297,59,474,1011,2.81684e+06,3.09907e+06
14017,0.988297,59,434,1011,2.81686e+06,3.09912e+06
14057,0.988297,59,394,1011,2.81687e+06,3.09919e+06
14097,0.988297,59,354,1011,2.81688e+06,3.09924e+06
14137,0.988297,59,314,1011,2.81691e+06,3.09929e+06
14181,0.988297,59,270,1011,2.81692e+06,3.0993e+06
14221,0.988297,59,230,1011,2.81692e+06,3.09932e+06
14261,0.988297,59,190,1011,2.81692e+06,3.09935e+06
14301,0.988297,59,150,1011,2.81693e+06,3.09939e+06
14341,0.988297,59,110,1011,2.81694e+06,3.09942e+06
14383,0.988297,59,68,1011,2.81695e+06,3.09943e+06
14423,0.988297,59,28,1011,2.8169e+06,3.09932e+06
14463,0.988297,59,999,1011,2.81676e+06,3.09894e+06
14503,0.988297,59,959,1011,2.81667e+06,3.0987e+06
14543,0.988297,59,919,1011,2.81665e+06,3.09864e+06
14589,0.988297,59,873,1011,2.81663e+06,3.09863e+06
14629,0.988297,59,833,1011,2.81664e+06,3.09863e+06
14669,0.988297,59,793,1011,2.81667e+06,3.09869e+06
14709,0.988297,59,753,1011,2.8167e+06,3.09882e+06
14749,0.988297,59,713,1011,2.81671e+06,3.09886e+06
14796,0.977241,58,767,1023,2.81673e+06,3.09888e+06
14836,0.977241,58,727,1023,2.81676e+06,3.09894e+06
14876,0.977241,58,687,1023,2.81677e+06,3.09899e+06
14916,0.977241,58,647,1023,2.8168e+06,3.09906e+06
14956,0.977241,58,607,1023,2.81681e+06,3.09912e+06
14996,0.977241,58,567,1023,2.81686e+06,3.09921e+06
14998,0.977241,58,565,1023,2.81688e+06,3.09929e+06
15038,0.977241,58,525,1023,2.8169e+06,3.09933e+06
15078,0.977241,58,485,1023,2.8169e+06,3.09935e+06
15118,0.977241,58,445,1023,2.81693e+06,3.09938e+06
15158,0.977241,58,405,1023,2.81692e+06,3.09941e+06
15200,0.977241,58,363,1023,2.81694e+06,3.09944e+06
15240,0.977241,58,323,1023,2.81695e+06,3.09949e+06
15280,0.977241,58,283,1023,2.81695e+06,3.09951e+06
15320,0.977241,58,243,1023,2.81693e+06,3.09945e+06
15360,0.977241,58,203,1023,2.81681e+06,3.09912e+06
15407,0.977241,58,156,1023,2.81668e+06,3.09881e+06
15447,0.977241,58,116,1023,2.81665e+06,3.0987e+06
15487,0.977241,58,76,1023,2.81664e+06,3.0987e+06
15527,0.977241,58,36,1023,2.81664e+06,3.09867e+06
15567,0.977241,58,1019,1023,2.81665e+06,3.09873e+06
15610,0.977241,58,976,1023,2.8167e+06,3.09887e+06
15650,0.977241,58,936,1023,2.81673e+06,3.09893e+06
15690,0.98761,59,759,1012,2.81672e+06,3.09892e+06
15730,0.98761,59,719,1012,2.81673e+06,3.09896e+06
15770,0.98761,59,679,1012,2.81676e+06,3.09902e+06
15812,0.98761,59,637,1012,2.81677e+06,3.09908e+06
15852,0.98761,59,597,1012,2.81679e+06,3.09917e+06
15892,0.98761,59,557,1012,2.81682e+06,3.09924e+06
15932,0.98761,59,517,1012,2.81683e+06,3.0993e+06
15972,0.98761,59,477,1012,2.81684e+06,3.09934e+06
16020,0.98761,59,429,1012,2.81687e+06,3.09938e+06
16060,0.98761,59,389,1012,2.81688e+06,3.09943e+06
16100,0.98761,59,349,1012,2.81689e+06,3.09946e+06
16140,0.98761,59,309,1012,2.8169e+06,3.09948e+06
16180,0.98761,59,269,1012,2.81692e+06,3.09953e+06
16225,0.98761,59,224,1012,2.81693e+06,3.09958e+06
